2017.01.02,02:00,1.051550,1.051970,1.051550,1.051900,0
2017.01.02,02:01,1.052090,1.052090,1.051770,1.051790,0
2017.01.02,02:02,1.051770,1.051980,1.051770,1.051780,0
2017.01.02,02:03,1.051880,1.052000,1.051880,1.052000,0
2017.01.02,02:04,1.051960,1.052040,1.051960,1.052030,0
2017.01.02,02:06,1.051960,1.052040,1.051960,1.052040,0
2017.01.02,02:07,1.052050,1.052100,1.052050,1.052090,0
2017.01.02,02:08,1.052100,1.052100,1.052090,1.052090,0
2017.01.02,02:09,1.052080,1.052090,1.052080,1.052090,0
2017.01.02,02:10,1.052080,1.052110,1.052070,1.052090,0
2017.01.02,02:11,1.052120,1.052140,1.052110,1.052140,0
2017.01.02,02:12,1.052130,1.052140,1.052130,1.052140,0
2017.01.02,02:13,1.052090,1.052140,1.052090,1.052110,0
2017.01.02,02:14,1.052060,1.052060,1.052060,1.052060,0
2017.01.02,02:15,1.052130,1.052130,1.052100,1.052130,0
2017.01.02,02:17,1.052120,1.052120,1.052080,1.052120,0
2017.01.02,02:18,1.052110,1.052110,1.052110,1.052110,0
2017.01.02,02:19,1.052060,1.052090,1.051770,1.051770,0
2017.01.02,02:20,1.051760,1.051760,1.051760,1.051760,0
2017.01.02,02:21,1.051720,1.051860,1.051720,1.051800,0
